,ARX,FOXA2,GCG,INS,ISL1,JUN,MAFA,MAFB,MYC,NEUROD1,NEUROG3,NKX2-2,NKX6-1,PAX4,PAX6,PDX1
ARX,,-0.00949752304304119,,,0.3099189069548156,,,,,,0.07046754555333173,0.22708158655254096,-0.0823970019468806,0.15291780068758754,,-0.2625962910172581
FOXA2,-0.26226355547371333,,,,,,,,,,,0.383307242445243,,,,
GCG,,-0.14786745146092617,,,0.06516485892698975,,0.05697099641764192,0.09511764539267686,,0.02527967699553413,,,0.09109934256247598,0.019262933679152328,0.1334400079994022,-0.1601839366306385
INS,,,,,0.10905206958317731,0.09494472585536251,0.055995932896768796,0.14117602834949944,0.0035456350961284855,0.048585689971590185,,0.05480677268244849,,,0.13723452811886383,-0.14124523450611265
ISL1,,,,,,0.5835052338734743,,,,,,,,,,
JUN,,,,,,0.7638781503916792,,,,,,,,,,
MAFA,,0.017063196363471755,,,0.14207486073162318,0.06974137882632503,,0.09702234963861078,,0.0936587162908003,,0.15604800001711028,0.050394769406015394,,,-0.042555600362549406
MAFB,,,,,,,,,,,,,,,0.8270301322930481,
MYC,,,,,,,,,,,,,,,,0.05244051375773329
NEUROD1,,,,,,,,,,,0.1416415820393639,0.4780310755556999,-0.11348670001769123,,0.38621165235392196,-0.11157905886595343
NEUROG3,,,,,,,,,,,,,0.42669229331200825,,,
NKX2-2,,0.11817815271602194,,,,,,,,0.6226858344671202,0.26755167680063696,,,,,
NKX6-1,0.011471757404433736,,,,,,,0.2788731840435127,,,,,,,,0.2838119938483265
PAX4,0.28986368477570185,,,,,,,,,,0.4739492010512766,,,,,
PAX6,,,,,,,,,,0.7581354492132453,,,,,,-0.1479622871834767
PDX1,-0.1234117215622424,0.17878118122137854,,,-0.029591133951357595,,0.011566604064342734,-0.06071358608465571,,0.052151218067020055,,,0.1416861071530201,,-0.15557099725605916,
