,JUN,MYC,INS,MAFA,NEUROG3,ARX,NKX2-2,FOXA2,NKX6-1,PAX6,NEUROD1,MAFB,ISL1,GCG,PAX4,PDX1
JUN,0.7638781503916792,,,,,,,,,,,,,,,
MYC,,,,,,,,,,,,,,,,0.05244051375773329
INS,24.305849818972817,0.9076825846088603,,14.334958821572819,,,14.030533806706831,,,35.13203919842915,12.437936632727054,36.14106325747187,27.91732981329338,,,-36.15878003356488
MAFA,8.926896489769586,,,,,,19.974144002190133,2.1840891345243856,6.450530483969972,,11.988315685222437,12.418860753742184,18.18558217364777,,,-5.447116846406336
NEUROG3,,,,,,,,,0.42669229331200825,,,,,,,
ARX,,,,,4.509922915413229,,14.533221539362627,-0.6078414747546348,-5.273408124600358,,,,19.8348100451082,,9.7867392440056,-16.80616262510453
NKX2-2,,,,,1.0702067072025478,,,0.47271261086408767,,,2.4907433378684805,,,,,
FOXA2,,,,,,-0.5245271109474268,0.7666144848904859,,,,,,,,,
NKX6-1,,,,,,0.045887029617735164,,,,,,1.1154927361740505,,,,1.135247975393306
PAX6,,,,,,,,,,,1.5162708984264905,,,,,-0.2959245743669533
NEUROD1,,,,,2.266265312629823,,7.6484972088911976,,-1.8157872002830597,6.179386437662751,,,,,,-1.785264941855255
MAFB,,,,,,,,,,0.8270301322930481,,,,,,
ISL1,0.5835052338734743,,,,,,,,,,,,,,,
GCG,,,,14.58457508291634,,,,-37.854067573997064,23.321431695993837,34.16064204784694,6.47159731085669,24.35011722052525,16.682203885309324,,4.931311021863007,-41.007087777443445
PAX4,,,,,0.9478984021025532,0.5797273695514037,,,,,,,,,,
PDX1,,,,1.4805253202358752,,-15.796700359967023,,22.88399119633647,18.135821715586577,-19.91308764877558,6.675355912578568,-7.771339018835926,-3.7876651457737864,,,
